100,3amgrowers,Growers3am@AOL.com,Vendor,3AM Growers,(800) 892-4326,19570 Rifle Range Road,,Tallassee,AL,36078,www.3amgrowers.com,3amgrowersAL36078,32.5007339,-85.9041449,FALSE
101,adcocknursery,anursoutlet@blomand.net,Vendor,Adcock Nursery Co.,(931) 473-7019,555 S. Chancery St.,,McMinnville,TN,37110,www.adcocknursery.com,adcocknurseryTN37110,35.667812,-85.7785509,FALSE
102,Bakerenv,sales@bakerenvironmentalnursery.com,Vendor,"Baker Environmental Nursery, Inc.",(706) 654-9072,949  Marshall Clark Rd.,,Hoschton,GA,30548,www.bakerenvironmentalnursery.com,BakerenvGA30548,34.067702,-83.716122,FALSE
103,bergerpeatmoss,miken@bergerpeatmoss.com,Vendor,Berger Peat Moss,(877) 339-5629,255 Turning Leaf Trail NE,,Cleveland,TN,37312,www.bergerpeatmoss.com,bergerpeatmossTN37312,35.207432,-84.823717,FALSE
104,bergerpeatmoss2,adam1@bergerpeatmoss.com,Vendor,Berger Peat Moss LTD.,(865) 312-2258,118 N. Peters Rd.,,Knoxville,TN,37923,www.bergerpeatmoss.com,bergerpeatmoss2TN37923,35.9137339,-84.0819919,FALSE
105,bottomsnursery,info@bottomsnursery.com,Vendor,"Bottoms Nursery, LLC",(770) 884-5661,519 Pullians Rd,,Concord,GA,30206,www.bottomsnursery.com,bottomsnurseryGA30206,33.0528879,-84.4918019,FALSE
106,bracysnursery,bracys@I-55.com,Vendor,Bracy's Nursery,(800) 899-4716,64624 Dummyline Road,,Amite,LA,70422,www.bracys.com,bracysnurseryLA70422,30.7868774,-90.3170595,FALSE
107,brantleynurseries,reneeh@brantleynurseries.com,Vendor,Brantley Nurseries,(407) 869-6545,1931 W. LK Brantely Rd,,Longwood,FL,32779,www.brantleynurseries.com,brantleynurseriesFL32779,28.689557,-81.431711,FALSE
108,burkhartfarms,info@burkhartfarmsnursery.com,Vendor,Burkhart Farms Nursery,(706) 965-6677,15590 Alabama Hwy,,Rock Spring,GA,30739,www.burkhartfarmnursery.com,burkhartfarmsGA30739,34.771113,-85.153909,FALSE
109,camtoocamellia,camtoo@earthlink.net,Vendor,Cam Too Camellia Nursery Inc,(336) 643-3727,805 Oakbury Court,,Greensboro,NC,27455,www.camtoocamellia.com,camtoocamelliaNC27455,36.228428,-79.778508,FALSE
110,carolinanative,bill@carolinanativeursery.com,Vendor,Carolina Native Nursery,(828) 682-1471,1126 Prices Creek Rd.,,Burnsville,NC,28714,carolinanativenursery.com,carolinanativeNC28714,35.9011645,-82.3891629,FALSE
111,chatham,chathamnurseries@aol.com,Vendor,"Chatham Nurseries, Inc.",(912) 748-4160,1503 West Hwy 80,,Bloomingdale,GA,31302,www.chathamnurseries.com,chathamGA31302,32.1666522,-81.3820603,FALSE
112,classicgroundcovers,sales@classic-groundcovers.com,Vendor,"Classic Groundcovers, Inc.",(800) 248-8424,405 Belmont Rd.,,Athens,GA,30605-4905,www.classic-groundcovers.com,classicgroundcoversGA30605-4905,33.874025,-83.303015,FALSE
