100,3amgrowers,Growers3am@AOL.com,Vendor,3AM Growers,(800) 892-4326,19570 Rifle Range Road,,Tallassee,AL,36078,www.3amgrowers.com,3amgrowersAL36078,,,TRUE
101,adcocknursery,anursoutlet@blomand.net,Vendor,Adcock Nursery Co.,(931) 473-7019,555 S. Chancery St.,,McMinnville,TN,37110,www.adcocknursery.com,adcocknurseryTN37110,,,TRUE
102,Bakerenv,sales@bakerenvironmentalnursery.com,Vendor,"Baker Environmental Nursery, Inc.",(706) 654-9072,949  Marshall Clark Rd.,,Hoschton,GA,30548,www.bakerenvironmentalnursery.com,BakerenvGA30548,,,TRUE
103,bergerpeatmoss,miken@bergerpeatmoss.com,Vendor,Berger Peat Moss,(877) 339-5629,255 Turning Leaf Trail NE,,Cleveland,TN,37312,www.bergerpeatmoss.com,bergerpeatmossTN37312,,,TRUE
104,bergerpeatmoss2,adam1@bergerpeatmoss.com,Vendor,Berger Peat Moss LTD.,(865) 312-2258,118 N. Peters Rd.,,Knoxville,TN,37923,www.bergerpeatmoss.com,bergerpeatmoss2TN37923,,,TRUE
105,bottomsnursery,info@bottomsnursery.com,Vendor,"Bottoms Nursery, LLC",(770) 884-5661,519 Pullians Rd,,Concord,GA,30206,www.bottomsnursery.com,bottomsnurseryGA30206,,,TRUE
106,bracysnursery,bracys@I-55.com,Vendor,Bracy's Nursery,(800) 899-4716,64624 Dummyline Road,,Amite,LA,70422,www.bracys.com,bracysnurseryLA70422,,,TRUE
107,brantleynurseries,reneeh@brantleynurseries.com,Vendor,Brantley Nurseries,(407) 869-6545,1931 W. LK Brantely Rd,,Longwood,FL,32779,www.brantleynurseries.com,brantleynurseriesFL32779,,,TRUE
108,burkhartfarms,info@burkhartfarmsnursery.com,Vendor,Burkhart Farms Nursery,(706) 965-6677,15590 Alabama Hwy,,Rock Spring,GA,30739,www.burkhartfarmnursery.com,burkhartfarmsGA30739,,,TRUE
109,camtoocamellia,camtoo@earthlink.net,Vendor,Cam Too Camellia Nursery Inc,(336) 643-3727,805 Oakbury Court,,Greensboro,NC,27455,www.camtoocamellia.com,camtoocamelliaNC27455,,,TRUE
110,carolinanative,bill@carolinanativeursery.com,Vendor,Carolina Native Nursery,(828) 682-1471,1126 Prices Creek Rd.,,Burnsville,NC,28714,carolinanativenursery.com,carolinanativeNC28714,,,TRUE
111,chatham,chathamnurseries@aol.com,Vendor,"Chatham Nurseries, Inc.",(912) 748-4160,1503 West Hwy 80,,Bloomingdale,GA,31302,www.chathamnurseries.com,chathamGA31302,,,TRUE
112,classicgroundcovers,sales@classic-groundcovers.com,Vendor,"Classic Groundcovers, Inc.",(800) 248-8424,405 Belmont Rd.,,Athens,GA,30605-4905,www.classic-groundcovers.com,classicgroundcoversGA30605-4905,,,TRUE
113,countylinenursery,Tommy@countylinenursery.com,Vendor,"County Line Nursery, Inc",(478) 825-1337,3204 Burnett Road,,Byron,GA,31008,www.countylinenursery.com,countylinenurseryGA31008,,,TRUE
114,cowartmulch,lorlandella@cowartmulch.com,Vendor,"Cowart Mulch Products, Inc.",(770) 932-6161,185 Peachtree Ind. Blve,,Sugar Hill,GA,30518,www.cowartmulch.com,cowartmulchGA30518,,,TRUE
115,creeksidenursery,creeksidensy@blomand.net,Vendor,Creekside Nursery,(931) 939-2390,828 Herman Lance Rd,,Morrison,TN,37357,www.creeksidensy.com,creeksidenurseryTN37357,,,TRUE
116,deepsprings,cokers@windstream.net,Vendor,Deep Springs Nurseries,(706) 259-8111,"1786 Beaverdale Road, NE",,Dalton,GA,30721,deepspringsnurseries.com,deepspringsGA30721,,,TRUE
117,deltalandscapesupply,smaddox@deltalandscape.com,Vendor,"Delta Landscape Supply of Georgia, Inc.",(770) 448-0805,5800 Oakbrook Parkway,Suite A-1,Norcross,GA,30093,www.deltalandscape.com,deltalandscapesupplyGA30093,,,TRUE
118,environassociated,john@environassociates.com,Vendor,Environ Associates Inc.,(770) 889-6000,3160 Hurt Bridge Rd,,Cumming,GA,30028,www.environassociates.com,environassociatedGA30028,,,TRUE
119,evergreennursery,sales@evergreennurseryinc.net,Vendor,"Evergreen Nursery, Inc.",(678) 753-1818,1501 Dials Mill Road,,Statham,GA,30666,www.evergreennurseryinc.net,evergreennurseryGA30666,,,TRUE
120,farongreen,farongreen@blomand.net,Vendor,Faron Green Nursery,(931) 668-2509,5588 Nashville Hwy,,McMinnville,TN,37110,www.tnnursery.com/FaronGreen,farongreenTN37110,,,TRUE
121,georgiabamboo,hotchkiss@windstream.net,Vendor,Georgia Bamboo Inc.,(478) 952-4075,913 Evergreen St,,Perry,GA,31069,www.gabamboo.com,georgiabambooGA31069,,,TRUE
122,grandiflora,alan@grandiflora.pro,Vendor,Grandiflora,(800) 933-9638,7315 NW 126 St.,,Gainesville,FL,32653,www.grandiflora.pro,grandifloraFL32653,,,TRUE
123,greennurseries,deegeegreen@bellsouth.net,Vendor,Green Nurseries,(251) 928-8469,415 N. Greeno Rd.,,Fairhope,AL,36532,www.GreenNurseries.com,greennurseriesAL36532,,,TRUE
124,greenwoodgrowers,mail@greenwoodgrowers.com,Vendor,"Greenwood Growers, Inc.",(888) 281-4058,2112 US Hwy 82,,Matthews,AL,36052,www.greenwoodgrowers.com,greenwoodgrowersAL36052,,,TRUE
125,griffithpropagation,sales@griffithnursery.com,Vendor,"Griffith Propagation Nursery, Inc.",(706) 310-0027,2580 Antioch Church Rd.,,Watkinsville,GA,30677,www.griffithnursery.com,griffithpropagationGA30677,,,TRUE
126,grosouthinc,spencer@grosouth.com,Vendor,"GroSouth, Inc.",(770) 938-1881,2075 Tucker Ind. Rd,,Tucker,GA,30084,www.grosouth.com,grosouthincGA30084,,,TRUE
127,hartlandfarms,hartlandfarms@hartcom.net,Vendor,Hartland Farms,(706) 377-4466,1791 Flat Rock Rd,,Hartwell,GA,30643,www.hartlandfarmsinc.com,hartlandfarmsGA30643,,,TRUE
128,hallowaytree,kevin@hollowaytreefarm.com,Vendor,Holloway Tree Farm & Nurseries,(352) 728-5096,2620 Griffin Road,,Lessburg,FL,34748,,hallowaytreeFL34748,,,TRUE
129,jandlgrowers,jLgrower@windstream.net,Vendor,"J & L Growers, Inc.",(229) 985-1222,4198 GA Hwy 37 East,,Moultrie,GA,31788,,jandlgrowersGA31788,,,TRUE
130,jamesgreenhouses,kjames@jamesgreenhouses.com,Vendor,James Greenhouses,(706) 742-7802,1699 Crawford Smithonia Road,,Colbert,GA,30628,www.jamesgreenhouses.com,jamesgreenhousesGA30628,,,TRUE
131,johnsonfordnursery,jninc@ellijay.com,Vendor,Johnson-Ford  Nursery,(706) 276-3187,1352 Big Creek Rd.,,Ellijay,GA,30540,www.johnsonnursery.com,johnsonfordnurseryGA30540,,,TRUE
132,jwdtrees,jwdoffice4@yahoo.com,Vendor,JWD Trees Inc.,(239) 543-4751,17091 Huffmaster Rd,,North Fort Myers,FL,33917,www.jwdtrees.com,jwdtreesFL33917,,,TRUE
133,laketreegrowers,sales@laketreegrowers.com,Vendor,Lake Tree Growers,(229) 762-4888,1271 Jowers Road,,Whigham,GA,39897,www.laketreegrowers.com,laketreegrowersGA39897,,,TRUE
134,landscapedepot,sales@landscape-depot.com,Vendor,"Landscape Depot, Inc.",(770) 719-3330,185 Walter Way,,Fayetteville,GA,30214,www.landscape-depot.com,landscapedepotGA30214,,,TRUE
